item,reading,description,example,level,sort,tag,category
"出来上がる","できあがる","làm xong, hoàn thành, hoàn tất","","N2","1",",400dongtu,lesson1,",""
"進める","すすめる","thúc đẩy, xúc tiến","交渉を進める: thúc đẩy cuộc đàm phán<br>コンピューターは仕事を進めるのに役立つ: Máy vi tính giúp ích cho công việc tiến triển thuận lợi","N2","2",",400dongtu,lesson1,",""
"膨らむ","ふくらむ","To lên, phòng lên.","パンがふくらむ: Bánh mì phồng lên<br> 期待が膨らむ: Hi vọng tăng lên <br>帆が風でふくらむ: buồm căng gió","N2","3",",400dongtu,lesson1,",""
"引き止める","ひきとめる","Kéo lại, níu kéo , níu lại, lôi lại","長くお引き留めはしません: không lưu giữ lại lâu <br>客を引き止める: lôi kéo khách <br>辞職しようとするスタッフを引き止める: níu kéo nhân viên định nghỉ việc","N2","4",",400dongtu,lesson1,",""
"欠ける","かける","thiếu, khiếm khuyết","まじめさに欠ける: thiếu tính nghiêm túc<br>注意が欠けている: thiếu chú ý, bất cẩn","N2","5",",400dongtu,lesson1,",""
"言い付ける","いいつける","chỉ ra, ra lệnh , nhắn tin","上司に言いつけると脅す: dọa mách với cấp trên.<br> 5 時にお客様を駅まで出迎えるよう言いつけられました: Bị lệnh phải ra đón khách hàng lúc 5 giờ.<br>君のお父さんに言いつけるぞ。: Tôi sẽ mách bố bạn cho coi.","N2","6",",400dongtu,lesson1,",""
"治める","おさめる","thống trị , điều khiển , quản lý","国を治める: trị nước<br>反乱を治める: trấn áp phản loạn.<br>問題を治める: giải quyết / control vấn đề","N2","7",",400dongtu,lesson1,",""
"教わる","おそわる","được giảng dạy","私は週１回山野先生にピアノを教わった。: Tôi được thày Yamano dạy tuần một buổi piano.","N2","8",",400dongtu,lesson1,",""
"刈る","かる","gặt, cắt, tỉa ","稲を刈る: Gặt lúa","N2","9",",400dongtu,lesson1,",""
"引き出す","ひきだす","Kéo ra, lấy ra, rút.","そのことからあまりにも多くの結論を引き出す: đưa nhiều kết luận từ việc đó. <br>百万ドル相当の現金を銀行から引き出す: rút gần 1 triệu đô la tiền mặt ra khỏi ngân hàng","N2","10",",400dongtu,lesson1,",""
"存じる","ぞんじる","biết, biết đến","ご多忙と存じますが。: Tôi biết ông rất bận nhưng…","N2","11",",400dongtu,lesson1,",""
"立ち上がる","たちあがる","đứng dậy"," 〔国が〕 戦争の廃墟の中から立ち上がる: Đất nước đứng lên từ sự hoang tàn trong chiến tranh.","N2","12",",400dongtu,lesson1,",""
"沈む","しずむ","chìm, buồn bã","母の死後、父は悲しみに沈んでいる。: Sau khi mẹ tôi chết, bố tôi chìm trong đau khổ.<br>水より比重の大きいものは全て水に沈む。: Tất cả những vật có tỷ trọng lớn hơn nước sẽ bị chìm.<br>太陽が沈んでいる: Mặt trời đang lặn<br>彼は物思いに沈んでいた: Anh ấy chìm đắm trong dòng suy nghĩ","N2","13",",400dongtu,lesson1,",""
"仕舞う","しまう","hết, hoàn thành","仕舞寸法: Phương pháp cuối cùng","N2","14",",400dongtu,lesson1,",""
"殴る","なぐる","đánh","彼は顔を厳しく殴られた: Anh ấy bị đánh rất nặng vào mặt","N2","15",",400dongtu,lesson1,",""
"隠れる","かくれる","ẩn , bị ẩn đi","（人）の後ろに隠れる: ẩn nấp sau lưng ai","N2","16",",400dongtu,lesson1,",""
"縮む","ちぢむ","co lại, rút ngắn","これは洗っても縮まない: Cái này có giặt thì cũng không bị rút / co lại.<br>あまりの恐ろしさに身の縮んだ。:Vì quá sợ hãi nên tôi đã co rúm người lại.","N2","17",",400dongtu,lesson1,",""
"蒸す","むす","Hấp, chưng cách thủy.","肉を蒸す: hấp thịt","N2","18",",400dongtu,lesson1,",""
"吊る","つる","treo, mắc, móc","僕は２本の木の間にハンモックを吊った。: Tôi treo võng lên giữa hai cái cây.<br>蚊帳を吊る: mắc mùng<br>首を吊る:Treo cổ","N2","19",",400dongtu,lesson1,",""
"渡る","わたる","Băng qua ( cầu, đường, biển…)","橋を渡る: đi qua cầu","N2","20",",400dongtu,lesson1,",""
"くっ付く","くっつく","dính chặt, bám vào, quấn quít","ピッタリとくっ付く: dính chặt khó gỡ ra được<br>母親にぴったりくっつく: quấn quýt bên mẹ<br>先輩にくっ付いて行く。: Bám đuôi đàn anh.","N2","1",",400dongtu,lesson2,",""
"凍える","こごえる","đóng băng, cứng lại","凍えるほど寒い: Lạnh muốnđóng băng luôn.<br>彼は雪の中に立っていて骨まで凍えそうだった: anh ta cảm thấy lạnh cóng thấu xương khi đứng trong tuyết","N2","2",",400dongtu,lesson2,",""
"繋げる","つなげる","nối, kết nối, liên kết","二本のひもを繋げて長くする: nối 2 dây lại cho dài ra","N2","3",",400dongtu,lesson2,",""
"逆上る","さかのぼる","lội ngược","上流段階に逆上る: quay ngược lại giai đoạn đầu.","N2","4",",400dongtu,lesson2,",""
"求める","もとめる","Yêu cầu, mong muốn, đòi hỏi","真理を求める: tìm kiếm chân lý<br>意見を求める: chưng cầu ý kiến / hỏi ý kiến<br>その服はロンドンの店で求めたものだ: Tôi đã đặt mua bộ đồ đó ở cửa tiệm London <br>彼はその詩を日本語に翻訳するよう求められた: Anh ấy bị yêu cầu dịch bài thơ đó sang tiếng Nhật","N2","5",",400dongtu,lesson2,",""
"拭く","ふく","Lau ( bàn…) , quét dọn.","ハンカチで眼鏡を拭く: dùng khăn lau kính","N2","6",",400dongtu,lesson2,",""
